	ImageNumber	ObjectNumber	Intensity_MeanIntensity_Ch01	Intensity_MeanIntensity_Ch02	FileName_DAPI	Sample_Name
414	3	158	0.135597256	0.222577804	Neg_3a	Neg
415	3	159	0.147731446	0.190893159	Neg_3a	Neg
416	3	160	0.141913413	0.242821432	Neg_3a	Neg
417	3	161	0.162403805	0.280104406	Neg_3a	Neg
418	3	162	0.183111116	0.084322442	Neg_3a	Neg
419	3	163	0.190001364	0.231091797	Neg_3a	Neg
420	3	164	0.120800489	0.141160303	Neg_3a	Neg
421	3	165	0.139730223	0.17334168	Neg_3a	Neg
422	3	166	0.166783538	0.256992607	Neg_3a	Neg
423	3	167	0.10458251	0.101652348	Neg_3a	Neg
424	3	168	0.110797695	0.132836453	Neg_3a	Neg
425	3	169	0.147084627	0.17671569	Neg_3a	Neg
426	3	170	0.137306848	0.140462282	Neg_3a	Neg
427	3	171	0.140786831	0.119959782	Neg_3a	Neg
428	3	172	0.152789288	0.236288326	Neg_3a	Neg
429	3	173	0.155436724	0.133368989	Neg_3a	Neg
430	3	174	0.142742379	0.152382902	Neg_3a	Neg
431	3	175	0.047383929	0.073432898	Neg_3a	Neg
432	3	176	0.212811647	0.182148883	Neg_3a	Neg
433	3	177	0.257767222	0.365920653	Neg_3a	Neg
434	3	178	0.190689708	0.296654334	Neg_3a	Neg
435	3	179	0.1692406	0.251887341	Neg_3a	Neg
436	3	180	0.15286788	0.241469678	Neg_3a	Neg
437	3	181	0.130505218	0.105794609	Neg_3a	Neg
987	4	1	0.138579941	0.182721011	2i_1a_ch00.tif	2i
988	4	2	0.065554582	0.058296753	2i_1a_ch00.tif	2i
989	4	3	0.135791032	0.178605967	2i_1a_ch00.tif	2i
990	4	4	0.064705885	0.058630424	2i_1a_ch00.tif	2i
991	4	5	0.128664803	0.101120451	2i_1a_ch00.tif	2i
992	4	6	0.135682898	0.12559162	2i_1a_ch00.tif	2i
993	4	7	0.145015484	0.270767122	2i_1a_ch00.tif	2i
994	4	8	0.155328222	0.289215693	2i_1a_ch00.tif	2i
995	4	9	0.18431373	0.157039662	2i_1a_ch00.tif	2i
996	4	10	0.215437595	0.207307514	2i_1a_ch00.tif	2i
997	4	11	0.200728297	0.189299724	2i_1a_ch00.tif	2i
998	4	12	0.168457567	0.140723441	2i_1a_ch00.tif	2i
999	4	13	0.174677192	0.161334293	2i_1a_ch00.tif	2i
1000	4	14	0.226870949	0.194451805	2i_1a_ch00.tif	2i
1001	4	15	0.16383139	0.143472027	2i_1a_ch00.tif	2i
1002	4	16	0.192144299	0.157780295	2i_1a_ch00.tif	2i
